Batch	Subject	Sample_ID	Label	Time	Timepoint	SeqFile
CircadianRythm9-1-16	FW1	FW1_1	1-1	1899-12-30 08:30:00	t1	IG1_1_1_R1_.final
CircadianRythm9-1-16	FW1	FW1_2	1-2	1899-12-30 14:00:00	t2	IG7_1_2_R1_.final
CircadianRythm9-1-16	FW1	FW1_3	1-3	1899-12-30 19:30:00	t3	IG13_1_3_R1_.final
CircadianRythm9-1-16	MW1	MW1_1	2-1	1899-12-30 08:30:00	t1	IG2_2_1_R1_.final
CircadianRythm9-1-16	MW1	MW1_2	2-2	1899-12-30 14:00:00	t2	IG8_2_2_R1_.final
CircadianRythm9-1-16	MW1	MW1_3	2-3	1899-12-30 19:30:00	t3	IG14_2_3_R1_.final
CircadianRythm9-1-16	FW2	FW2_1	3-1	1899-12-30 08:30:00	t1	IG3_3_1_R1_.final
CircadianRythm9-1-16	FW2	FW2_2	3-2	1899-12-30 14:00:00	t2	IG9_3_2_R1_.final
CircadianRythm9-1-16	FW2	FW2_3	3-3	1899-12-30 19:30:00	t3	IG15_3_3_R1_.final
CircadianRythm9-1-16	FW3	FW3_1	4-1	1899-12-30 08:30:00	t1	IG4_4_1_R1_.final
CircadianRythm9-1-16	FW3	FW3_2	4-2	1899-12-30 14:00:00	t2	IG10_4_2_R1_.final
CircadianRythm9-1-16	FW3	FW3_3	4-3	1899-12-30 19:30:00	t3	IG16_4_3_R1_.final
CircadianRythm9-1-16	MA1	MA1_1	5-1	1899-12-30 08:30:00	t1	IG5_5_1_R1_.final
CircadianRythm9-1-16	MA1	MA1_2	5-2	1899-12-30 14:00:00	t2	IG11_5_2_R1_.final
CircadianRythm9-1-16	MA1	MA1_3	5-3	1899-12-30 19:30:00	t3	IG17_5_3_R1_.final
CircadianRythm9-1-16	MW2	MW2_1	6-1	1899-12-30 08:30:00	t1	IG6_6_1_R1_.final
CircadianRythm9-1-16	MW2	MW2_2	6-2	1899-12-30 14:00:00	t2	IG12_6_2_R1_.final
CircadianRythm9-1-16	MW2	MW2_3	6-3	1899-12-30 19:30:00	t3	IG18_6_3_R1_.final
CircadianRythm11-16-16	MA2	MA2_1	1-1	1899-12-30 08:30:00	t1	NA
CircadianRythm11-16-16	MA2	MA2_2	1-2	1899-12-30 14:30:00	t2	NA
CircadianRythm11-16-16	MA2	MA2_3	1-3	1899-12-30 18:30:00	t3	NA
CircadianRythm11-16-16	MA3	MA3_1	2-1	1899-12-30 08:30:00	t1	IG4_2_1_R1_.final
CircadianRythm11-16-16	MA3	MA3_2	2-2	1899-12-30 14:30:00	t2	IG5_2_2_R1_.final
CircadianRythm11-16-16	MA3	MA3_3	2-3	1899-12-30 18:30:00	t3	IG6_2_3_R1_.final
CircadianRythm11-16-16	FC1	FC1_1	3-1	1899-12-30 08:30:00	t1	IG7_3_1_R1_.final
CircadianRythm11-16-16	FC1	FC1_2	3-2	1899-12-30 14:30:00	t2	NA
CircadianRythm11-16-16	FC1	FC1_3	3-3	1899-12-30 18:30:00	t3	IG9_3_3_R1_.final
CircadianRythm11-16-16	FC2	FC2_1	4-1	1899-12-30 08:30:00	t1	IG10_4_1_R1_.final
CircadianRythm11-16-16	FC2	FC2_2	4-2	1899-12-30 14:30:00	t2	IG11_4_2_R1_.final
CircadianRythm11-16-16	FC2	FC2_3	4-3	1899-12-30 18:30:00	t3	IG12_4_3_R1_.final
CircadianRythm11-16-16	MC1	MC1_1	5-1	1899-12-30 08:30:00	t1	NA
CircadianRythm11-16-16	MC1	MC1_2	5-2	1899-12-30 14:30:00	t2	NA
CircadianRythm11-16-16	MC1	MC1_3	5-3	1899-12-30 18:30:00	t3	NA
CircadianRythm11-16-16	MC2	MC2_1	6-1	1899-12-30 08:30:00	t1	IG16_6_1_R1_.final
CircadianRythm11-16-16	MC2	MC2_2	6-2	1899-12-30 14:30:00	t2	IG17_6_2_R1_.final
CircadianRythm11-16-16	MC2	MC2_3	6-3	1899-12-30 18:30:00	t3	IG18_6_3_R1_.final
CircadianRythm11-16-16	FC3	FC3_1	7-1	1899-12-30 08:30:00	t1	IG19_7_1_R1_.final
CircadianRythm11-16-16	FC3	FC3_2	7-2	1899-12-30 14:30:00	t2	IG20_7_2_R1_.final
CircadianRythm11-16-16	FC3	FC3_3	7-3	1899-12-30 18:30:00	t3	IG21_7_3_R1_.final
CircadianRythm11-16-16	MA4	MA4_1	8-1	1899-12-30 08:30:00	t1	IG22_8_1_R1_.final
CircadianRythm11-16-16	MA4	MA4_2	8-2	1899-12-30 14:30:00	t2	IG23_8_2_R1_.final
CircadianRythm11-16-16	MA4	MA4_3	8-3	1899-12-30 18:30:00	t3	IG24_8_3_R1_.final
